year,repo,commit,root_cause,symptom,code_add,code_remove,platform_related,error_handling,propagation_chain_1,propagation_chain_2,len_panic
2021-before-edition2021,tikv,7757bd41,Alg,Behavior,62,27,0,1,safe,safe,-1
2021-before-edition2021,tikv,7b260d1f,Alg,Behavior,100,28,0,1,safe,safe,-1
2021-before-edition2021,tikv,7ce16e99,Mem,Performance,29,9,0,1,safe,safe,-1
2021-before-edition2021,tikv,8045e1b1,Alg,Crash,26,11,0,1,safe,safe,-1
2021-before-edition2021,tikv,82613ae9,Unwrap,Panic,16,8,0,0,safe,safe,-2
2021-before-edition2021,tikv,84c71766,Cod,Behavior,94,18,0,0,safe,safe,-1
2021-before-edition2021,tikv,8a23d23d,Conc,Performance,2,21,0,3,safe,safe,-1
2021-before-edition2021,tikv,8d0f2ca3,Cod,Behavior,40,37,0,0,safe,safe,-1
2021-before-edition2021,tikv,8f8e351d,Doc,Behavior,114,11,0,1,safe,safe,-1
2021-before-edition2021,tikv,913fbe89,Conc,Crash,202,145,0,1,safe,safe,-1
2021-before-edition2021,tikv,94ddf51b,Unwrap,Panic,4,1,0,1,safe,safe,-1
2021-before-edition2021,tikv,95ebc5c8,Alg,Performance,139,103,0,1,safe,safe,-1
2021-before-edition2021,tikv,a061186b,Attr,Compile,12,0,0,0,safe,safe,-1
2021-before-edition2021,tikv,a6d8f53c,Unwrap,Panic,18,24,0,3,safe,safe,3
2021-before-edition2021,tikv,a7951987,Mem,Crash,102,49,0,0,unsafe,safe,-1
2021-before-edition2021,tikv,a9854fec,Alg,Behavior,58,29,0,1,safe,safe,-1
2021-before-edition2021,tikv,aca3d673,Cod,Behavior,10,2,0,2,safe,safe,-1
2021-before-edition2021,tikv,ad284665,Mem,Crash,79,4,0,1,safe,safe,-1
2021-before-edition2021,tikv,b84ab0ae,Type,Crash,6,1,0,1,safe,safe,-1
2021-before-edition2021,tikv,ba3a2e46,Owner,Panic,2,3,0,0,safe,safe,3
2021-before-edition2021,tikv,bb064d64,Type,Behavior,96,2,0,0,safe,safe,-1
2021-before-edition2021,tikv,bcbc5746,Mac,Panic,14,2,0,2,safe,safe,-1
2021-before-edition2021,tikv,bfc3c47d,Alg,Panic,187,39,0,1,safe,safe,3
2021-before-edition2021,tikv,c4003abe,Alg,Performance,147,121,0,1,safe,safe,-1
2021-before-edition2021,tikv,c514eb5e,Unwrap,Panic,32,6,0,1,safe,safe,1
2021-before-edition2021,tikv,c845a8dd,Conc,Behavior,36,77,0,1,safe,safe,-1
2021-before-edition2021,tikv,cfb1ad17,Conc,Performance,18,8,0,0,safe,safe,-1
2021-before-edition2021,tikv,d9f7368a,Alg,Panic,43,41,0,2,safe,safe,-3
2021-before-edition2021,tikv,e2713589,Alg,Panic,64,0,0,1,safe,safe,3
2021-before-edition2021,tikv,e7427636,Conc,Panic,6,2,0,0,safe,safe,-2
2021-before-edition2021,tikv,f288b556,Conc,Performance,31,18,0,0,safe,safe,-1
2021-before-edition2021,tikv,f4be3a0b,Alg,Panic,139,59,0,1,safe,safe,3
2021-before-edition2021,tikv,f810a292,Alg,Behavior,13,2,0,1,safe,safe,-1
2021-before-edition2021,tokio,03969cda,Doc,Behavior,458,458,0,0,safe,safe,-1
2021-before-edition2021,tokio,095012b0,Alg,Compile,35,4,0,1,safe,safe,-1
2021-before-edition2021,tokio,14090415,Alg,Panic,41,6,0,1,safe,safe,-1
2021-before-edition2021,tokio,18779aa2,Alg,Behavior,180,30,0,0,safe,safe,-1
2021-before-edition2021,tokio,1a72b28f,Alg,Panic,76,19,0,1,safe,Interior unsafe,-1
2021-before-edition2021,tokio,22c27b92,Alg,Performance,15,0,0,0,safe,safe,-1
2021-before-edition2021,tokio,2b9b5581,Alg,Behavior,184,15,0,0,safe,safe,-1
2021-before-edition2021,tokio,345b29ca,Doc,Behavior,6,5,0,0,safe,safe,-1
2021-before-edition2021,tokio,38204f5f,Alg,Behavior,12,1,0,0,safe,safe,-1
2021-before-edition2021,tokio,5ac32934,Mac,Panic,10,2,0,1,safe,safe,-1
2021-before-edition2021,tokio,5d0a81fb,Mem,Performance,81,5,0,0,safe,safe,-1
2021-before-edition2021,tokio,6778a7de,Doc,Behavior,21,4,0,0,safe,safe,-1
2021-before-edition2021,tokio,7207e3ca,Type,Behavior,10,5,0,0,safe,safe,-1
2021-before-edition2021,tokio,7c4183a4,Mem,Performance,96,1,0,2,safe,safe,-1
2021-before-edition2021,tokio,7d5b12c5,Alg,Panic,28,1,0,0,safe,safe,0
2021-before-edition2021,tokio,8170e278,Ver,Behavior,30,3,0,0,safe,safe,-1
